timestamp_ms,angle_deg,distance_mm,quality,true_distance_mm,residual_mm
80185,359.19,709.0,15,700.0,9.0
80186,0.50,709.2,15,700.0,9.2
80186,1.75,709.7,15,700.0,9.7
80326,359.11,709.2,15,700.0,9.2
80327,0.36,709.2,15,700.0,9.2
80327,1.78,709.7,15,700.0,9.7
80467,358.89,708.7,15,700.0,8.7
80467,0.25,709.2,15,700.0,9.2
80468,1.59,710.0,15,700.0,10.0
80608,359.00,708.7,15,700.0,8.7
80608,0.22,709.2,15,700.0,9.2
80609,1.59,710.0,15,700.0,10.0
80748,358.97,708.7,15,700.0,8.7
80749,0.19,709.2,15,700.0,9.2
80750,1.59,710.0,15,700.0,10.0
80889,358.80,708.5,15,700.0,8.5
80890,0.11,708.7,15,700.0,8.7
80890,1.48,709.5,15,700.0,9.5
81030,358.69,708.5,15,700.0,8.5
81031,359.92,709.0,15,700.0,9.0
81031,1.23,709.2,15,700.0,9.2
81171,358.12,709.2,15,700.0,9.2
81171,359.44,708.7,15,700.0,8.7
81172,0.80,709.5,15,700.0,9.5
81312,359.25,708.7,15,700.0,8.7
81313,0.61,708.7,15,700.0,8.7
81313,1.86,709.7,15,700.0,9.7
81452,358.14,709.2,15,700.0,9.2
81453,359.41,708.7,15,700.0,8.7
81453,0.77,709.5,15,700.0,9.5
81593,358.33,709.0,15,700.0,9.0
81594,359.64,708.7,15,700.0,8.7
81594,0.80,709.0,15,700.0,9.0
81734,358.75,708.5,15,700.0,8.5
81734,0.05,708.7,15,700.0,8.7
81735,1.33,709.2,15,700.0,9.2
81875,358.78,708.5,15,700.0,8.5
81875,0.14,709.0,15,700.0,9.0
81876,1.52,710.0,15,700.0,10.0
82015,358.83,708.7,15,700.0,8.7
82016,0.20,709.2,15,700.0,9.2
82016,1.45,710.0,15,700.0,10.0
82156,358.58,709.0,15,700.0,9.0
82157,359.83,709.5,15,700.0,9.5
82157,1.09,709.5,15,700.0,9.5
82297,359.03,708.7,15,700.0,8.7
82298,0.27,709.2,15,700.0,9.2
82298,1.58,710.0,15,700.0,10.0
82438,358.89,708.5,15,700.0,8.5
82439,0.17,709.0,15,700.0,9.0
82439,1.41,710.0,15,700.0,10.0
82579,358.62,708.7,15,700.0,8.7
82579,359.95,709.0,15,700.0,9.0
82580,1.41,709.2,15,700.0,9.2
82720,358.58,708.7,15,700.0,8.7
82720,359.87,709.5,15,700.0,9.5
82721,1.33,709.7,15,700.0,9.7
82861,359.06,708.7,15,700.0,8.7
82861,0.37,709.2,15,700.0,9.2
82862,1.58,710.2,15,700.0,10.2
83001,358.67,708.7,15,700.0,8.7
83002,0.06,709.0,15,700.0,9.0
83002,1.31,709.2,15,700.0,9.2
83142,358.75,708.5,15,700.0,8.5
83143,0.08,708.7,15,700.0,8.7
83143,1.36,709.5,15,700.0,9.5
83283,359.23,709.2,15,700.0,9.2
83283,0.48,709.2,15,700.0,9.2
83284,1.78,709.7,15,700.0,9.7
83423,358.58,709.0,15,700.0,9.0
83424,359.89,709.2,15,700.0,9.2
83424,1.22,709.5,15,700.0,9.5
83563,358.22,709.0,15,700.0,9.0
83564,359.53,708.7,15,700.0,8.7
83564,0.80,709.5,15,700.0,9.5
83704,359.17,709.0,15,700.0,9.0
83705,0.53,709.2,15,700.0,9.2
83705,1.92,709.7,15,700.0,9.7
83844,358.84,708.5,15,700.0,8.5
83845,0.16,709.0,15,700.0,9.0
83845,1.48,709.7,15,700.0,9.7
83985,358.42,709.0,15,700.0,9.0
83985,359.77,709.2,15,700.0,9.2
83986,1.08,709.5,15,700.0,9.5
84125,359.03,709.0,15,700.0,9.0
84126,0.41,709.2,15,700.0,9.2
84126,1.72,709.7,15,700.0,9.7
84266,358.87,708.5,15,700.0,8.5
84266,0.17,708.7,15,700.0,8.7
84267,1.53,709.5,15,700.0,9.5
84406,358.25,709.0,15,700.0,9.0
84406,359.66,709.2,15,700.0,9.2
84407,0.86,709.5,15,700.0,9.5
84547,358.91,708.7,15,700.0,8.7
84547,0.25,709.2,15,700.0,9.2
84548,1.69,710.0,15,700.0,10.0
84687,358.81,708.5,15,700.0,8.5
84687,0.08,708.7,15,700.0,8.7
84688,1.37,709.5,15,700.0,9.5
84827,358.02,708.7,15,700.0,8.7
84828,359.34,708.7,15,700.0,8.7
84828,0.62,708.7,15,700.0,8.7
