timestamp_ms,angle_deg,distance_mm,quality,true_distance_mm,residual_mm
487792,358.17,305.8,15,300.0,5.8
487793,359.42,305.8,15,300.0,5.8
487793,0.16,306.0,15,300.0,6.0
487794,1.87,306.3,15,300.0,6.3
487935,359.45,305.8,15,300.0,5.8
487936,0.53,306.0,15,300.0,6.0
487936,1.92,306.3,15,300.0,6.3
488077,359.27,305.8,15,300.0,5.8
488077,359.72,305.8,15,300.0,5.8
488078,1.73,306.0,15,300.0,6.0
488219,358.69,305.8,15,300.0,5.8
488220,359.77,305.8,15,300.0,5.8
488220,1.11,306.0,15,300.0,6.0
488362,359.23,305.8,15,300.0,5.8
488362,359.84,305.8,15,300.0,5.8
488363,1.20,306.0,15,300.0,6.0
488504,358.14,305.5,15,300.0,5.5
488505,359.14,305.8,15,300.0,5.8
488505,0.50,306.0,15,300.0,6.0
488506,1.61,306.3,15,300.0,6.3
488647,358.02,305.8,15,300.0,5.8
488647,359.11,305.8,15,300.0,5.8
488648,359.95,306.0,15,300.0,6.0
488648,1.16,306.3,15,300.0,6.3
488789,358.84,305.8,15,300.0,5.8
488790,359.75,305.8,15,300.0,5.8
488790,1.87,306.3,15,300.0,6.3
488932,358.78,305.8,15,300.0,5.8
488932,0.37,306.0,15,300.0,6.0
488933,1.87,306.3,15,300.0,6.3
489074,358.59,305.8,15,300.0,5.8
489075,0.08,306.0,15,300.0,6.0
489075,1.31,306.3,15,300.0,6.3
489216,359.47,305.8,15,300.0,5.8
489217,0.42,306.0,15,300.0,6.0
489217,1.83,306.3,15,300.0,6.3
489359,359.11,305.8,15,300.0,5.8
489359,0.41,306.0,15,300.0,6.0
489360,1.69,306.3,15,300.0,6.3
489500,358.17,305.8,15,300.0,5.8
489501,358.92,305.8,15,300.0,5.8
489501,0.19,306.0,15,300.0,6.0
489502,1.55,306.3,15,300.0,6.3
489643,358.05,305.8,15,300.0,5.8
489643,358.67,305.8,15,300.0,5.8
489644,0.56,306.0,15,300.0,6.0
489644,1.58,306.3,15,300.0,6.3
489785,358.02,305.8,15,300.0,5.8
489786,358.69,305.8,15,300.0,5.8
489786,0.09,306.0,15,300.0,6.0
489787,1.37,306.3,15,300.0,6.3
489927,358.27,305.8,15,300.0,5.8
489928,359.64,305.8,15,300.0,5.8
489928,0.86,306.0,15,300.0,6.0
490070,358.97,305.8,15,300.0,5.8
490070,359.97,305.8,15,300.0,5.8
490071,1.14,306.0,15,300.0,6.0
490212,358.48,305.8,15,300.0,5.8
490212,0.22,305.8,15,300.0,5.8
490213,1.20,306.0,15,300.0,6.0
490354,358.37,305.8,15,300.0,5.8
490355,359.84,305.8,15,300.0,5.8
490355,1.12,306.0,15,300.0,6.0
490497,359.05,305.8,15,300.0,5.8
490497,359.59,305.8,15,300.0,5.8
490498,1.41,306.0,15,300.0,6.0
490639,358.00,305.8,15,300.0,5.8
490639,359.75,305.5,15,300.0,5.5
490640,0.73,306.0,15,300.0,6.0
490781,358.64,305.8,15,300.0,5.8
490782,359.69,305.5,15,300.0,5.5
490782,0.52,306.0,15,300.0,6.0
490783,1.95,306.3,15,300.0,6.3
490923,358.45,305.8,15,300.0,5.8
490924,359.47,305.5,15,300.0,5.5
490924,0.95,306.0,15,300.0,6.0
490925,1.84,306.3,15,300.0,6.3
491066,358.97,305.8,15,300.0,5.8
491066,0.94,306.0,15,300.0,6.0
491067,1.39,306.3,15,300.0,6.3
491208,358.56,305.8,15,300.0,5.8
491208,359.67,305.8,15,300.0,5.8
491209,1.34,306.0,15,300.0,6.0
491350,358.58,305.8,15,300.0,5.8
491350,0.19,306.0,15,300.0,6.0
491351,1.47,306.3,15,300.0,6.3
491492,358.59,305.8,15,300.0,5.8
491492,359.70,305.8,15,300.0,5.8
491493,0.72,306.0,15,300.0,6.0
491634,358.28,305.8,15,300.0,5.8
491634,359.72,305.8,15,300.0,5.8
491635,1.48,306.0,15,300.0,6.0
491776,358.89,305.8,15,300.0,5.8
491777,0.30,306.0,15,300.0,6.0
