timestamp_ms,angle_deg,distance_mm,quality,true_distance_mm,residual_mm
75264,359.27,509.5,15,500.0,9.5
75265,0.67,509.8,15,500.0,9.8
75405,358.31,509.5,15,500.0,9.5
75406,359.64,509.3,15,500.0,9.3
75406,0.67,509.5,15,500.0,9.5
75546,358.37,509.5,15,500.0,9.5
75547,359.73,509.8,15,500.0,9.8
75548,0.89,509.5,15,500.0,9.5
75688,359.14,509.5,15,500.0,9.5
75688,0.56,509.5,15,500.0,9.5
75689,1.97,510.3,15,500.0,10.3
75829,358.73,510.0,15,500.0,10.0
75829,359.97,510.0,15,500.0,10.0
75830,1.42,510.3,15,500.0,10.3
75969,358.44,509.5,15,500.0,9.5
75970,359.80,509.8,15,500.0,9.8
75970,1.25,509.8,15,500.0,9.8
76110,358.67,509.5,15,500.0,9.5
76111,359.89,509.8,15,500.0,9.8
76111,1.23,509.8,15,500.0,9.8
76251,358.23,509.5,15,500.0,9.5
76251,359.37,509.3,15,500.0,9.3
76252,0.78,509.5,15,500.0,9.5
76392,359.27,509.3,15,500.0,9.3
76393,0.58,509.5,15,500.0,9.5
76393,1.72,510.3,15,500.0,10.3
76533,358.98,509.5,15,500.0,9.5
76533,0.14,509.5,15,500.0,9.5
76534,1.67,510.0,15,500.0,10.0
76674,358.97,509.5,15,500.0,9.5
76674,0.13,509.5,15,500.0,9.5
76675,1.64,510.0,15,500.0,10.0
76814,359.31,509.5,15,500.0,9.5
76815,0.48,509.5,15,500.0,9.5
76955,358.44,509.8,15,500.0,9.8
76956,359.66,509.8,15,500.0,9.8
76956,1.05,509.5,15,500.0,9.5
77096,358.86,510.0,15,500.0,10.0
77097,0.06,510.0,15,500.0,10.0
77098,1.25,510.3,15,500.0,10.3
77238,358.73,509.8,15,500.0,9.8
77238,0.14,509.8,15,500.0,9.8
77239,1.33,510.0,15,500.0,10.0
77379,358.72,509.5,15,500.0,9.5
77380,359.87,510.0,15,500.0,10.0
77380,1.37,510.0,15,500.0,10.0
77520,358.30,509.8,15,500.0,9.8
77521,359.56,509.8,15,500.0,9.8
77521,0.97,509.5,15,500.0,9.5
77662,358.66,509.5,15,500.0,9.5
77662,359.83,510.0,15,500.0,10.0
77663,1.30,510.0,15,500.0,10.0
77802,358.14,510.0,15,500.0,10.0
77803,359.39,509.5,15,500.0,9.5
77803,0.73,509.8,15,500.0,9.8
77944,358.95,509.5,15,500.0,9.5
77944,0.13,509.8,15,500.0,9.8
77945,1.55,510.0,15,500.0,10.0
78084,358.00,510.0,15,500.0,10.0
78085,359.47,509.5,15,500.0,9.5
78085,0.75,509.8,15,500.0,9.8
78086,1.83,510.3,15,500.0,10.3
78226,358.98,509.5,15,500.0,9.5
78226,0.37,509.8,15,500.0,9.8
78227,1.62,510.0,15,500.0,10.0
78366,358.91,509.5,15,500.0,9.5
78367,0.30,509.5,15,500.0,9.5
78368,1.58,510.0,15,500.0,10.0
78507,358.77,510.0,15,500.0,10.0
78508,0.13,509.8,15,500.0,9.8
78508,1.25,510.0,15,500.0,10.0
78648,359.16,509.5,15,500.0,9.5
78649,0.47,509.5,15,500.0,9.5
78649,1.58,510.3,15,500.0,10.3
78789,358.34,509.5,15,500.0,9.5
78789,359.66,509.8,15,500.0,9.8
78790,0.81,509.5,15,500.0,9.5
78930,358.77,509.5,15,500.0,9.5
78931,0.16,509.5,15,500.0,9.5
78931,1.53,510.3,15,500.0,10.3
79071,359.27,509.5,15,500.0,9.5
79072,0.66,509.5,15,500.0,9.5
79072,1.95,510.3,15,500.0,10.3
79212,358.33,509.8,15,500.0,9.8
79213,359.47,509.8,15,500.0,9.8
79213,0.94,509.5,15,500.0,9.5
79353,359.05,509.3,15,500.0,9.3
79354,0.22,509.5,15,500.0,9.5
79354,1.66,510.3,15,500.0,10.3
79494,358.83,510.0,15,500.0,10.0
79495,0.02,510.0,15,500.0,10.0
79495,1.25,510.0,15,500.0,10.0
79635,358.39,509.5,15,500.0,9.5
79635,359.83,509.8,15,500.0,9.8
79636,1.00,509.5,15,500.0,9.5
79776,358.28,509.5,15,500.0,9.5
79776,359.33,509.3,15,500.0,9.3
79777,0.78,509.8,15,500.0,9.8
79777,1.94,510.5,15,500.0,10.5
79917,358.53,509.5,15,500.0,9.5
79917,0.02,510.0,15,500.0,10.0
79918,1.33,510.0,15,500.0,10.0
80058,358.97,509.3,15,500.0,9.3
80059,0.50,509.5,15,500.0,9.5
80059,1.72,510.5,15,500.0,10.5
80199,359.00,509.5,15,500.0,9.5
80200,0.23,509.5,15,500.0,9.5
80200,1.67,510.3,15,500.0,10.3
80340,358.73,510.0,15,500.0,10.0
80340,0.13,510.0,15,500.0,10.0
80341,1.52,510.3,15,500.0,10.3
80481,358.95,509.5,15,500.0,9.5
80481,0.13,509.5,15,500.0,9.5
80482,1.48,510.0,15,500.0,10.0
80621,358.08,510.0,15,500.0,10.0
80622,359.17,509.5,15,500.0,9.5
80622,0.62,509.5,15,500.0,9.5
80623,1.89,510.3,15,500.0,10.3
80763,358.12,509.8,15,500.0,9.8
80763,359.62,509.8,15,500.0,9.8
80764,0.83,509.5,15,500.0,9.5
80904,358.52,509.5,15,500.0,9.5
80904,359.61,509.8,15,500.0,9.8
80905,1.05,509.5,15,500.0,9.5
81045,358.23,509.8,15,500.0,9.8
81046,359.31,509.3,15,500.0,9.3
81046,0.64,509.8,15,500.0,9.8
81047,1.98,510.5,15,500.0,10.5
81186,358.28,509.5,15,500.0,9.5
81187,359.64,509.8,15,500.0,9.8
81187,1.03,509.5,15,500.0,9.5
81328,358.84,509.5,15,500.0,9.5
81328,0.30,509.5,15,500.0,9.5
81329,1.55,510.3,15,500.0,10.3
81468,358.16,509.8,15,500.0,9.8
81469,359.47,509.3,15,500.0,9.3
81470,0.62,509.8,15,500.0,9.8
81470,1.91,510.5,15,500.0,10.5
81610,359.06,509.5,15,500.0,9.5
81610,0.33,509.5,15,500.0,9.5
81611,1.66,510.0,15,500.0,10.0
81751,359.58,509.3,15,500.0,9.3
81752,0.72,509.8,15,500.0,9.8
81752,1.87,510.5,15,500.0,10.5
81892,358.77,509.5,15,500.0,9.5
81892,359.81,510.0,15,500.0,10.0
81893,1.12,510.0,15,500.0,10.0
82033,359.14,509.3,15,500.0,9.3
82034,0.44,509.5,15,500.0,9.5
82034,1.89,510.5,15,500.0,10.5
82174,358.37,509.5,15,500.0,9.5
82174,359.67,509.8,15,500.0,9.8
82175,1.09,509.5,15,500.0,9.5
82315,358.22,509.8,15,500.0,9.8
82315,359.52,509.8,15,500.0,9.8
82316,0.89,509.5,15,500.0,9.5
82456,359.06,509.3,15,500.0,9.3
82456,0.52,509.5,15,500.0,9.5
82457,1.81,510.5,15,500.0,10.5
82597,358.41,509.5,15,500.0,9.5
82597,359.81,509.8,15,500.0,9.8
82598,1.09,510.0,15,500.0,10.0
82738,358.89,509.5,15,500.0,9.5
82738,0.34,509.5,15,500.0,9.5
82739,1.62,510.3,15,500.0,10.3
82879,359.34,509.5,15,500.0,9.5
82880,0.75,509.8,15,500.0,9.8
83020,358.86,510.0,15,500.0,10.0
83021,0.08,509.8,15,500.0,9.8
83021,1.39,510.0,15,500.0,10.0
83161,358.59,509.5,15,500.0,9.5
83161,359.86,509.8,15,500.0,9.8
83162,1.12,510.0,15,500.0,10.0
83302,358.31,509.8,15,500.0,9.8
83302,359.50,509.8,15,500.0,9.8
83303,0.83,509.5,15,500.0,9.5
83442,358.25,509.5,15,500.0,9.5
83443,359.47,509.5,15,500.0,9.5
83443,0.88,509.5,15,500.0,9.5
83584,359.08,509.3,15,500.0,9.3
83584,0.34,509.5,15,500.0,9.5
83585,1.84,510.5,15,500.0,10.5
83724,358.52,509.5,15,500.0,9.5
83725,359.75,509.8,15,500.0,9.8
83725,1.05,509.5,15,500.0,9.5
83866,359.28,509.3,15,500.0,9.3
83866,0.56,509.5,15,500.0,9.5
83867,1.77,510.5,15,500.0,10.5
84006,358.86,510.0,15,500.0,10.0
84007,359.95,510.0,15,500.0,10.0
84007,1.39,510.3,15,500.0,10.3
84147,358.52,509.5,15,500.0,9.5
84148,359.94,510.0,15,500.0,10.0
84148,1.27,510.0,15,500.0,10.0
84288,358.02,510.0,15,500.0,10.0
84288,359.36,509.5,15,500.0,9.5
84289,0.50,509.5,15,500.0,9.5
84290,1.83,510.5,15,500.0,10.5
84429,358.58,510.0,15,500.0,10.0
84430,359.92,510.0,15,500.0,10.0
